,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
311,WEST PHARMACEUTICAL SERVICES SINGAPORE PTE. LTD.,"Business Support, HR","JURONG, 15 JOO KOON CIRCLE 629046","Permanent, Full Time",Executive,Admin / Secretarial,,"Roles & ResponsibilitiesResponsibilities:   Handle all incoming telephone calls and overseas calls from the switchboard to appropriate extension including screening of calls and taking messages. This include for staffs in JTC Summit. Attend to all visitors, auditors, suppliers/contractors and job applicants include walk-in. Greet and attend to them promptly and politely. Duly informed the host of the arrival and posting of welcome slides for visitors and auditors as per request by the host. Ensure that reception counter and the departmental mail room are kept clean and tidy at all times. In addition, responsible for maintenance of copy machine in the departmental mail room. Manage all outgoing and registered postages which include records keeping and the need to ensure timely updating with data accuracy. Manage office dispatch services via Service Provider – Virtual Client system. This will include co-ordinate and upload of job assignment timely. Sort all daily incoming mails/courier and deposit them in the respective departmental mail box including coordination between Joo Koon to/fro JTC Summit. Manage employees’ welfare items accordance to policy, i.e. baby hampers, fruit baskets, condolence wreath, corporate passes which include timely records keeping and the need to ensure timely updating with data accuracy. Manage e-taxi voucher system accordance to the given guidelines which include proper records keeping, verification of taxi receipts against billing invoices from Cab Charge. Responsible for ordering of office supplies (including printing, stationeries and pantry items) from approved suppliers include creating PR, PO and GR for all departments excluding Compounding, Molding/Trimming, Toolshop, Engineering and  Std/LF Finishing with responsibility to create PO. Responsible for ordering name plates for new hires/meeting rooms include liaising with service provider on the artwork. Ensure timely updating with data accuracy of telephone listing in the S drive and safety notice board. Ensure timely updating with data accuracy of Employees’ Medical Expenses database as per billing invoices from Company’s appointed clinics. Ensure timely updating with data accuracy of general expenses in the Monthly Expenditure Database, i.e. taxi, employees’ welfare items. Support logistics activities of new hires onboarding orientation (weekly) and monthly exempt level & above orientation. Activities include  rooms booking, sending meeting invites/email to presenters & attendees, refreshment/lunch arrangement and liaising with HR colleagues/attendees from China/India for the monthly exempt level & above orientation if applicable. Support logistics activities of Quarterly Staff Communication & Employee Forum, i.e. rooms booking, sending meeting invites/email for the Asia Pacific region. Secondarily SG LMS Administrator. Activities include response to queries, reset PIN, productionize SOI based on the email notification send out by Document Controller and update of LAB training records. Ad-hoc duties as assigned   ","RequirementsRequirements:   Certificate / Diploma in Human Resource Management /Business Administration or equivalent At least 3 years’ experience in Administration/receptionist duties Presentable, have pleasant and cheerful personality and professional demeanor Proficiency in MS Office with expertise in Microsoft Word, PowerPoint and Excel Knowledge of administrative management Good interpersonal skills Good organizational skills Good communication skills Good telephone etiquette Able to work independently, accountable, diplomatic, teamwork spirit "
312,TONG HENG F&B PTE. LTD.,Manager,9 KRANJI LINK 728645,Full Time,Manager,F&B,"$5,000to$7,000","Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.","Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels."
313,DBS BANK LTD.,"VP  /  AVP, Project Manager - Strategic Projects, Risk Management, T&O (180002NI)",,"Permanent, Full Time","Middle Management, Manager",Banking and Finance,"$6,500to$13,000","Roles & ResponsibilitiesJob Purpose  The Technology & Operations group is key to enabling the DBS vision of being the best bank in the world.  The key mandate of Tech &Ops Risk Management (T&O RM) – Strategic Projects is to drive risk and control initiatives across T&O.  The Project Manager supports the transformation of Risk Management by driving initiatives to enhance data and analytics capabilities for managing key areas of operational risk within the Bank.  The role will be responsible for the project management and implementation of solutions for T&O RM and key T&O stakeholders.. Responsibilities   Manage the delivery of initiatives and solutions for targeted risk focus areas for the T&O RM Subject Matter Experts (SME), working closely with technology Support the transformation of the relevant process and risk metrics in T&O and target opportunities to derive new risk metrics, liaising with the relevant stakeholders and technology support as needed for the implementation and support Partner T&O RM SMEs on transformation initiatives & requirements 	 Collaborate with risk Subject-Matter-Experts to assess business needs and identify opportunities for transformation in data optimization, and relevant resourcing needs Collaborate with data scientists on strategy to address data & analytics solutions Ensure quality execution of end-to-end process for project lifecycle, with relevant stakeholders, and oversee operationalization with technology / vendor solutions Provide prompt updates and identification/resolution/escalation of project to management / stakeholders   ","Requirements Degree holder in Computer Science, Engineering, Statistics, Applied Mathematics, or equivalent with minimum 6-8 years of data mining and machine learning on large amount of data, building and implementing various statistical models Provide data translation and business analysis coaching to non-statistical risk SMEs Strong project management and stakeholder management skills, managing and implementing solutions of various scale and scope Good mathematical and statistics background, including the ability to translate business problems and requirements into mathematical formulations General banking knowledge and familiarity with use of analytics Excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts Independent self-starter with ability to multitask and has a ‘can-do’ attitude Proficient in data management and analysis, and able to present analysis in a manner accessible by non-statisticians through data visualisation techniques Programming or management experience in SQL query, SAS, R, or other statistical software is useful "
314,CAPGEMINI SINGAPORE PTE. LTD.,Business Analyst,6 BATTERY ROAD 049909,Full Time,Executive,Information Technology,"$5,500to$10,000","Roles & ResponsibilitiesDemonstrates all engineering skills (analysis, design, test scripting) Curious, Rigourous, Involved Able to take decisions, Facilitator with the business and the development team Excellent written and communication skills Be able to organize ideas and technical details; and present work clearly through the product lifecycle be able to identify problems and consequently  propose solutions Digital oriented mind spirit and can be potentially involved in pres-sale Team spririt  Participate in support for client banks","RequirementsAgile knowledge PO Certified is a must Able to manage meetings with business stakeholders Knowledge ideation, design thinking"
315,METEORITE INFORMATICS PTE. LTD.,Data Architect Manager,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Full Time,Professional,Information Technology,"$6,000to$10,000","Roles & ResponsibilitiesData Architect  Analyze client’s business requirements Conduct and lead customer facing workshops on pain point identification, ideation, design thinking, high-level solutioning, change management Develop the business case and strategy for our clients’ investments in digital and analytics solutions Articulate business case and business impact of analytics solutions to clients’ executive teams Construct and present quick proof of concepts and prototypes to enable pre- sales Collaborate with various subject matter expertise to architect the solution Analyze, communicate technical insight from analytics and modeling to senior executives in a business-oriented and pragmatic way Provide critical thinking and subject-matter expertise to quantitative and qualitative aspects of client engagements Support our clients throughout their analytics maturity and business transformation journeys with change management best practices       ","Requirements Bachelor or Master’s degree in a quantitative field such as Engineering, Economics, Mathematic, Computer Sciences Strong experience in solving business problems using quantitative approaches Ability to connect data and analytics to business impact Strong client facing and presentation skills Practical understanding of business statistics Practical knowledge on one or more quantitative techniques such as machine learning, mathematical optimization, operations research, forecasting, and statistics Intermediate level experience with visualization tools like SAS, Tableau, Qlik or any other BI solution preferred Hands-on experience in programming in R, Python, C, Java, Matlab, SAS is a plus Prior analytics consulting/ advisory experience is a plus  Singaporean nationality only due to security requirements of the projects involved. "
316,INFINITE COMPUTER SOLUTIONS PTE LTD,Datastage Consultant,20 CHANGI SOUTH AVENUE 2 486547,Full Time,Professional,Information Technology,"$3,000to$5,000","Roles & ResponsibilitiesJob Description Responsible for the analysis, data profiling, development, and integration of disparate systems throughout all phases of the project life cycle. Work as part of a team delivering high quality and efficient integration solutions. Assist in ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL related activities. Takes a logical, analytical approach to problem solving and pays close attention to detail   ","RequirementsKey Qualification: *Degree in Computer Science or Computer Engineering *4+ years experience in IBM DataStage or similar ETL tool *Experience with other components of ETL such as Information Analysis, data quality,data lineage and data governance *Knowledge/hands on experience with SQL, relational databases such as MSSQL,  DB2 or Oracle, *IBM Infosphere Tool Suite.  EA License No. - 14C6941　  "
317,ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,"Operational Risk Analytics (Contract till Dec 2018, Changi)","SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",Contract,Senior Executive,Banking and Finance,"$5,000to$9,000","Roles & ResponsibilitiesAllegis Global Solutions is the exclusive Contingent HR services provider for one of the world’s leading banks. At Allegis Global Solutions we’re proud to be the leader in global talent solutions. We draw upon decades of industry expertise to develop innovative tools, products, processes and strategies focused on outcome. Moreover, we’re incredibly proud to have built a culture that empowers our people to make their mark while making deep connections that will last a lifetime. With our passion and culture for talent, we are truly transforming the way the World acquires talent. Our Client is one of the world's most international banks with over 1,100 branches, offices and outlets in 67 countries. They operate in some of the world's most dynamic markets and have been for over 150 years. More than 90 per cent of their income and profits are derived from Asia, Africa and the Middle East. Their brand promise, Here for good, underlines their distinctive approach.     RESPONSIBILITIES: Business  Ensure that information needed to inform the decisions that impact operational risk is available Liaise with the Enterprise Risk Management team to ensure that their operational risk deliveries meet the requirements of Group Operational Risk Enhance the quality of information and insights relating to operational risk Support the delivery of targeted operational risk initiatives Provide operational risk support for 1st line in accordance with the Group’s Operational Risk Framework   Monitor the Group’s operational risk profile and provide assurance that risk acceptances and root cause reviews are completed/accepted in a timely manner and of expected quality.    Risk Appetite  Ensure the integrity of operational risk information relating to the Group and where applicable make this information available to assess the operational risk profile of the Group.    Risk Control Ownership of Operational Risk  To provide assurance and reporting for the Group Head, Operational Risk as the focal point of control over the aggregate level of operational risk that arises from end-to-end processes. ",RequirementsData Application Skills: Understanding of data structures and ability to query data tables. Analytical Skills: Ability to conduct hypothesis testing and articulate outcomes. Non-technical Skills:  Stakeholder management experience. Diligence and eye to detail.  Ability to think creatively and innovate
318,"JPMORGAN CHASE BANK, N.A.",GTM Programme Analyst,,"Permanent, Contract, Full Time",Professional,Banking and Finance,"$5,000to$10,000","Roles & ResponsibilitiesThe Global Treasury Management Analyst position is a two (2) year rotational program across the J.P. Morgan Treasury Services division that prepares and trains entry-level Analysts with a bachelor’s degree for a permanent position upon completion. During the two year period, Analysts support teams that provide critical services to corporate and institutional clients for their cash management and payment needs. Analysts will be required to support the business through meaningful and challenging work assignments where they will strategically assess and analyze situations and develop creative and workable solutions with the supervision and mentorship of their teams and managers. Analysts are challenged on their analytical skills, strategic thinking, creativity and diligence, along with their technical and theoretical knowledge. The experience in the program provides Analysts valuable exposure to businesses and projects. These tasks are to be accomplished by the integration of the Analyst’s practical skills and theoretical knowledge, with the supervision and guidance of experienced colleagues and senior managers. Analytics   Structure and develop detailed and flexible quantitative models that analyze a variety of financial and non-financial business data on a product, solution, or client.     Financial Forecasts:        Build dynamic financial projection models for a particular business segment, product, or solution based on a detailed set of assumptions and an understanding of the business, the industry, and the financial forecasting principles. Present these financial forecasts to senior management for their review and agreement in order to drive future business decisions.   Market Sizing:  Estimate the market size and opportunity value of new or existing products, product features, and solutions. With a background on market sizing techniques and the manager’s guidance on the business, be able to determine the variables to obtain the opportunity value.   Cost-Benefit Analyses:  Assess the value add of our products and solutions to our clients. – Through a quantitative approach, calculate the dollar value of the benefits and costs associated with the use of the product or solution as well as the synergies of our partnership.          Optimize existing business focusing on profitable growth and improved efficiency, including international expansion, new business, market entry, and efficiency initiatives.     Client Targeting:  Following various client targeting strategies and the guidance of the sales specialists on the team, elaborate a list of top clients to target and focus sales efforts on. Though Analysts will be guided and supervised, they are expected to comprehend the basics of a company’s business operations, industry fundamentals, and the potential opportunities for our products and solutions.          Market Share Analyses:  Incorporating different market share analysis methodologies and market research, assess how well our products and business are performing compared to the industry, external competitors, and with other products and businesses within the bank. Provide managers with insightful analysis and recommendations on rationale, strategy, and product development opportunities.   Competitive Analysis:  Assess the top list of competitors and evaluate their key strengths and weaknesses and how they compare to our product offering. Evaluate differences and develop an insightful recommendation to management on the best market placement strategy for our product to address the competition and develop competitive advantage.     ","Requirements  Strategy   Create, own, and help deliver presentations to top executives and higher management within the firm. These include but are not limited to:     Strategy documents, business reviews, business offsite presentations, product roadmaps, etc. Analysts will be expected to incorporate their strategic thinking, insight on new trends and business techniques, and broader knowledge of business. These value adding contributions provide managers with fresh and new perspectives on the stories and problems they seek to address.   Commercialization     Assist clients to make and receive payments, and enable them to buy, finance and sell goods globally, invest and manage cash to increase their returns, and monitor and manage financial risks Work on solutions to help clients maximize the value of their working capital by optimizing their cash flows from transactions e.g. creating marketing materials and Pitchbooks. Foster innovation by identifying new and emerging business opportunities, such as data analytics, visualization, mobile applications, and accelerate speed-to-market through inorganic growth including partnerships. Identify, assess, and execute against acquisition opportunities that have strategic benefits to existing business (e.g., new capabilities, client segments, geographies).     Leverage competitive and market share analyses to assess emerging opportunities for the business and provide managers with insightful and informed recommendations to grow the existing business through new initiates, partnerships, and/or acquisitions.   Collaborate with functional partners in Product, Sales, Technology, Operations, Client Service, Marketing, and Finance around the world to gather information and insight.   "
319,SIMONE STUDIOS PTE. LTD.,KEO - Key Executive Officer for Real Estate,,Full Time,Senior Management,Real Estate / Property Management,,"Roles & Responsibilitieswww.simonestudios.com The identified candidate, as KEO is to lead the implementation of new next generation technologies to showcase Residential properties and in the course help Real Estate Agencies & Property Developers to have better representation of their properties resulting in quicker sales & Leasing transactions. The individual is also chartered to lead the Real Estate market intelligence knowledge base to help our engineering team build deep learning and artificial intelligence tools to help consumers with their buying decisions. The KEO will likely be responsible for the overall management of the Real Estate Sector Technological solutions business and the supervision of the real estate talent & business development teams.","RequirementsThe candidate should be able to work in a fast-paced technological environment focused on the residential properties space, hence an experience of at least 3 years of working with a licensed estate agent is a requirement. The KEO must put in place proper policies and processes for the management of the business and his salespersons and must possess management experience. Must be Singaporean with a valid CEA License.  Must be at least 21 years old Have at least 3 years of working experience as a salesperson Have completed at least 30 property transactions within last 3 years or who have sufficient experience in managing the business of an estate agent as an executive director or partner, chief executive or sole-proprietor Must not be registered as a salesperson or be an existing KEO of another estate agent Passed REA examination or possessed equivalent qualifications Have minimum 4 GCE 'O' Level passes or WDA's Workplace Literacy & Numeracy (WPLN) Level 5 or equivalent Undertake mandatory continuing professional development Fulfill fit and proper criteria such as                (i) Must not be an un-discharged bankrupt;               (ii) Must not possess criminal records involving fraud or dishonesty;               (iii) Must not have previous track record of complaints or convictions  Must not be a licensed moneylender or an employee, a director or a partner of a licensed moneylender    Experience:  Business management minimum of  3 years of experience Licensed Estate Agent: 3 years (Required) License or certification: Real Estate Agency (REA)    www.gigco.work"
320,KELLY SERVICES (SINGAPORE) PTE. LTD.,BAU Analyst and Support,"ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",Contract,Fresh/entry level,Information Technology,"$5,000to$7,500","Roles & ResponsibilitiesWe are seeking a highly motivated candidate for the position of Functional/Systems Analyst.   Candidate will be part of the dynamic team that undertake BAU responsibilities in supporting  Payment System.   Responsibilities:   •           Manage service requests and support applications related queries. •           Work with users and vendors on issues, resolution and follow up in the timely manner •           To investigate and resolve incidents as well as perform root cause analysis. •           Manage and follow up the problems with the vendors and make sure the problems are eventually resolved. •           Work with vendors to understand and apply hotfixes with proper test management cycle until production deployment •           Work with business user on requirements, gathering, testing and implementation of system enhancements    ","RequirementsQualification:   •           At least 1-4 years of experience •           Experience in system development, integration and implementation •           Experienced in working with different teams on medium to complex regional channel systems will be an advantage. •           Possesses system support or development experience with knowledge on the following will be an advantage: a)         Technical knowledge J2EE, Oracle, SQL, Unix/Linux, Web application development, IBM MQ b)         3 tier application architecture c)         Payment domain-related systems (SWIFT, ISO20022,etc)"
321,PUBLICIS SINGAPORE,Planning Director,"INCOME AT RAFFLES, 16 COLLYER QUAY 049318","Permanent, Full Time",Senior Management,Advertising / Media ,"$10,000to$14,000","Roles & Responsibilities·         Create crisp, sharp, thoughtful strategies that solve a problem and stand up to rigorous questioning ·         Translate insights into clear strategic proposals that inspire ideas worth talking about ·         Develop actionable and practical brand architecture and product positioning strategies ·         Manage multiple and concurrent strategy projects ·         Lead and design a wide range of custom research projects to solve client challenges ·         Manage client business independently at a senior level ·         Work with creative teams by communicating strategy, shaping and reviewing concepts, and developing client facing presentations ·         Develop strategies with a deep understanding of media, social, and digital ecosystems; how consumers use each platform and how a brand should participate in an authentic way ·         Navigate analytics and tell persuasive stories with hard facts & data insights ·         Lead persuasive presentations for new business to sell creative campaigns","Requirements·         create crisp, sharp, thoughtful strategies that solve a problem and stand up to rigorous questioning ·         translate insights into clear strategic proposals that inspire ideas worth talking about ·         develop actionable and practical brand architecture and product positioning strategies ·         manage multiple and concurrent strategy projects ·         lead and design a wide range of custom research projects to solve client challenges ·         manage client business independently at a senior level ·         work with creative teams by communicating strategy, shaping and reviewing concepts, and developing client facing presentations ·         develop strategies with a deep understanding of media, social, and digital ecosystems; how consumers use each platform and how a brand should participate in an authentic way ·         navigate analytics and tell persuasive stories with hard facts & data insights ·         lead persuasive presentations for new business to sell creative campaigns"
322,ASIAN TECHNOLOGY SOLUTIONS PTE. LTD.,Business Analyst,"CLIFFORD CENTRE, 24 RAFFLES PLACE 048621",Contract,Professional,Banking and Finance,"$7,500to$9,000","Roles & ResponsibilitiesDesired Competencies (Technical/Behavioral Competency) Must have the following: 1.Core banking understanding with basics such as entity, limits, collateral, loan/deposit, etc. 2. Regulatory or risk reporting experience, must have. 3. Retail banking experience is good to have. 4. Should have strong hold on PL-Sql or Oracle 5. Agile 6. JIRA 7. Banking Domain Experience Good to have:Have gone through Hadoop training -Design, Develop and Test new system -Perform and manage stages of the SLDC -Design and document system architecture and propose appropriate technologies/tools required to implement systems -Support cutover plan and execution, including migration -Provide application maintenance and support -Maintain development infrastructure and test tools -Maintain high coding standards and high quality in development","RequirementsRequired Technical Skill Set: -BFS domain knowledge -Degree in IT-related field or equivalent -At least 5 years of hands-on Java development experience -Good knowledge of Core Java, JSP, Servlets and deployment of application using Weblogic/JBOSS -Knowledge of Oracle PL/SQL is a plus -Knowledge of financial domains and integration with payment gateways is an advantage -Great verbal and written communication skills -Self-motivated with a strong work ethic -Positive attitude and demeanor  -Enthusiastic when embracing new challenges  -Able to multi-task and prioritize (good time-management skills)  "
323,VK TRANSFORMATION PTE. LTD.,Business Development & Digital Marketing Consultant,,"Contract, Freelance, Full Time, Flexi work",Executive,Consulting ,"$2,500to$4,000","Roles & ResponsibilitiesScope The Digital Marketing Consultant will work closely with the Founder, Business Analyst, partners and clients to formulate the strategic marketing & business development plan and effectively execute the marketing plan to generate demand, drive customer acquisition and sales revenue. Duties and responsibilities:  Work closely with the team to develop digital marketing strategy and  plan for the firm and projects. This includes digital, social, content management and online lead generation strategies.  Conduct market research and benchmarks to provide insights into the market conditions, customer insights, customer segmentation, pricing, competition landscape for target markets for variety of clients across multiple industries. Manage the content, use and distribution of online materials as well as VK Transformation website. Implement marketing campaigns via various channels eg. eDMs, SEM, Linkedin, Facebook or Instagram platforms and events. Establish KPIs for measuring digital marketing impact and make recommendations to improve results. Perform in-depth analysis and draw insights to optimize spend and performance across multiple channels and customer touch points. Participate in pre-sales consultancy including client meetings and pitches Develop digital analytics strategy and user campaign metrics tracking reports. Follow-up with the marketing leads and qualify the leads before handing over to the Consultant for closure Build business relationship through networking events, face to face, Skype, messaging or phone engagements ","Requirements   Possesses 1-3 years marketing experience with a Bachelor’s or Master’s degree in Business, Marketing, Economics (majoring in Marketing), MBA or any other relevant discipline. Experience in B2B or B2C marketing, planning and customer engagement is preferred. High proficiency in Word, Excel and PowerPoint. Strong analytical and quantitative abilities with excellent written and verbal communication skills, preferably the ability to develop and deliver consulting presentations. Fluency in English is mandatory. Digital marketing experience across Linkedin, Facebook, Youtube and Google platforms is preferred. Strong background in Google Analytics with the ability to analyze digital data and draw actionable insights. Strong passion to work in a startup business environment "
324,DENYO UNITED MACHINERY PTE. LTD.,Digital Marketing Executive,9 NEYTHAL ROAD 628614,"Permanent, Full Time",Junior Executive,Marketing / Public Relations ,"$2,000to$2,500","Roles & Responsibilities Create EDM and marketing content regularly and promote via digital channels to improve awareness Oversee the company’s social media accounts (e.g. Facebook, LinkedIn) and respond to comments promptly. Identify and build relationships with influencers and key opinion leaders via social media Plan and implement SEO strategies across the company’s digital channels to improve organic search rankings Track, analyse and report on web traffic via web analytic tools (e.g Google Analytics) and make recommendations for improvement Work with web designer to optimise website content to improve search engine crawlability Assist and support the Marketing Department as required ","Requirements Minimum diploma holder in Marketing / Communications / IT or relevant field At least 1 year of hands-on experience with SEO and digital marketing across social media platforms such as Facebook and LinkedIn Strong command in English with good copywriting skills  Proficient in web analytic tools such as Google Analytics Able to multi-task and work within timelines An eye for detail Knowledge of HTML, CSS and website development a plus   Other Information:  5-day work week Company transport provided at designated MRT stations  Candidates with relevant experience and qualifications are invited to apply online with a detailed resume stating expected salary, via the APPLY NOW button. We regret that only shortlisted candidates will be notified."
325,NCS PTE. LTD.,Senior  /  Lead Consultant (Data Scientist),,Full Time,Professional,"Engineering, Information Technology","$6,000to$10,000","Roles & Responsibilities Work with customers to identify opportunities where Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) can be applied to data to solve the customer painpoints. Individually or collaborate with other team members to develop AI/ML/AA prototypes/Proof-of-Concept/Proof-of-Value to derive actionable insights from data. Collaborate with the customers and internal stakeholders to architect the overall supporting storage and compute infrastructure to support the deployment of the AI/ML/AA models, applications, and visualisation of the results.   Collaborate with the relevant project managers to conceptualise, develop project scope, requirements, budget, and timeline for the implementation of the identified AI/ML/AA projects. Implement the AI/ML/AA projects and to ensure that the projects’ AI/ML/AA objectives are met.    ","Requirements PhD/Masters/Bachelors (with good honours) in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines. Prefer candidates with 5 or more years of working experience, with at least 3 years of Artificial Intelligence (AI), Machine Learning (ML), and Advanced Analytics (AA) experience. Domain experience in public safety, defence, transport, education, and healthcare are highly desired. AI/ML/AA experience in smart city, social media, and procurement are also highly desired.  Good knowledge of AI/ML/AA models, software, and tools with the ability to conceptualise and architect the key components of AI/ML/AA projects; and to develop prototypes using statistical software packages such as R/SAS/SPSS. Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine learning. Experience in solutions using technologies such as Hadoop/Hive/Hbase/NoSQL and developer skills in Python, Perl, and Java are highly desired. "
326,NIKE GLOBAL TRADING B.V. SINGAPORE BRANCH,PRODUCT MARGIN PLANNING ANALYST,,Full Time,Executive,Banking and Finance,"$5,100to$7,500","Roles & ResponsibilitiesAs the Product Margin Planning Analyst, you will assist in the preparation and distribution of timely and insightful financial analysis on margins to determine progress against the budget, seasonal targets and forecast. You will perform timely analysis, encompassing price-point and cost-component analysis, in support of the decision making process to drive business performance, aligned to the strategic plan. You will be actively involved in monthly management reporting activities, which includes the forecasting process, for margins. Key Responsibilities:  Assist in the performance of financial planning and analysis activities on Margin for the South East Asia and India territory, across numerous business dimensions. Assist in identifying the margin implications of business decisions throughout the seasonal planning process. Provide timely tracking and insights on the financial performance of Margin levers against forecast and budget. Support monthly forecast loading activities related to Margins, covering all COGS line items and AGSP. Actively supports ad-hoc projects to improve data analytics and streamline process to achieve productivity. ","Requirements Bachelors Degree with at least 2 years of relevant financial planning and analytics experience, ideally gained in FMCG industries.  Prior exposure to business case evaluation will be advantageous.  To succeed in this role, you will be described as personable, enterprising and operationally hands-on with an acute sense of details management.  You will be required to have advanced Excel and Powerpoint proficiencies.  Understanding of SAP and Cognos Planning tools will be valuable but not mandatory. "
327,NOVEL SUNKRIS BUSINESS SOLUTIONS PTE. LTD.,APAC-Trade Business Analyst,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Manager,Banking and Finance,"$3,100to$3,200","Roles & Responsibilities4)Designation: APAC- Trade – Business Analyst     Salary – 3200 SGD Max Gross Per Month  Key Responsibilities: The function works with various dealers to support the CPB AP Investment FX/Structured Product Desks located in Singapore and Hong Kong, handling FX and FX Options, Equity Accumulator/Deccumulator/Hybrid, Stuctured Investments including Market Linked and Premium Instruments, Equity Options and Equity Swaps. The function includes the following:  Perform trade booking into various CPB systems Monitor trade life-cycle events for the products supported Retrieval of reports for internal review, tracking and approvals  Handle enquiries from various Desks/Marketing teams and Operations for products supported including exception handling, problem resolution and trade discrepancies. Coordinate end-to-end order booking flow for completeness and new product rollout including support implementation of new policies/regulatory guidelines.     Validate trade details against counterparty confirmations and capture transactions into various CPB systems Prepare and provide Tailored Investment Proposal documents to Marketing Team. Manage trade life-cycle events such as barriers, expiry, cancellation/amendment, unwind, transfer and corporate actions. Control, investigate and rectify trade discrepancies. Coordinate with the Desks, Finance, Risk, Operations and Legal on issues relating to the processing of these transactions Participate in related system enhancement, COB, UAT testing and projects implementation Work towards achieving optimum productivity and accuracy Product coverage – FX and FX Options, Equity Accumulator/Deccumulator/Hybrid, Stuctured Investments including Market Linked and Premium Instruments, Equity Options and Equity Swaps. ","RequirementsRequirements –  Up to 2 years of working experience, preferably in a financial institution Proficient in Microsoft Office, knowledge of Excel Macro will be an added advantage Experience in UAT testing University degree in Banking, Accounting and Finance with good academic record  Competencies –  Ability to work in a structured, high volume, time sensitive, high risk and demanding environment. Good analytical skills, positive attitude and good learning ability with great attention to detail and multitasking Good interpersonal, teamwork, communication and presentation skills Open to work on public holidays and weekends   "
